annotation_approver,id,label,text,user
,1,1,Jajajaa cállate indio estúpido metiche.hdp,1
,1,5,Jajajaa cállate indio estúpido metiche.hdp,1
,1,3,Jajajaa cállate indio estúpido metiche.hdp,1
,2,2,Te quedaste sin el pan y sin la torta por imbecil !! Io te lo dije,1
,2,4,Te quedaste sin el pan y sin la torta por imbecil !! Io te lo dije,1
,3,2,"Te das cuenta que las dos vidas te las pasas por el forro de los huevos? Ojala no te deje dormir la culpa por todas las mujeres que se van a morir, ojala tengas una hija feminista y deje de respetarte con esa opinion de mierda que tenes  #SeraLey a la larga o a la corta Mono",1
,4,2,"Ja como si el indio va a ver este tw. Sos una pelotuda.\nA mi también me gusta el indio y estoy a favor de las vidas , ay no que mal ! Ahora el indio va a saberlo , ay no acabo de faltarle el respeto. Jajaja que gente idiota por favor",1
,4,4,"Ja como si el indio va a ver este tw. Sos una pelotuda.\nA mi también me gusta el indio y estoy a favor de las vidas , ay no que mal ! Ahora el indio va a saberlo , ay no acabo de faltarle el respeto. Jajaja que gente idiota por favor",1
,5,4,"@PaSchwarzBlo Hola, no se si sera fascista pero seguro ignorante.- Confundir al Movimiento Social Patriota con Nazis?. Recuerde que su apellido es uno de los 20 mas usados en Alemania, por lo que segun Franzani usted seria un Nazi, no estaria muy lejano del fascismo.-",1
,5,2,"@PaSchwarzBlo Hola, no se si sera fascista pero seguro ignorante.- Confundir al Movimiento Social Patriota con Nazis?. Recuerde que su apellido es uno de los 20 mas usados en Alemania, por lo que segun Franzani usted seria un Nazi, no estaria muy lejano del fascismo.-",1
,6,2,"Fue el montaje de un dictador comunista para tener la excusa de encarcelar opositores. ¿Te lo dibujo para que lo entiendas, esbirro asqueroso?",1
,6,4,"Fue el montaje de un dictador comunista para tener la excusa de encarcelar opositores. ¿Te lo dibujo para que lo entiendas, esbirro asqueroso?",1
,7,2,"Que bronca me da lo que flashan del aborto loco! Sea legal o ilegal se va a seguir haciendo. No queres abortar? No lo hagas.\nNadie te obligó a ser puto o torta cuando se legalizó el matrimonio igualitario. De la misma manera nadie te obliga a abortar, FANTASMA!",1
,7,4,"Que bronca me da lo que flashan del aborto loco! Sea legal o ilegal se va a seguir haciendo. No queres abortar? No lo hagas.\nNadie te obligó a ser puto o torta cuando se legalizó el matrimonio igualitario. De la misma manera nadie te obliga a abortar, FANTASMA!",1
,8,3,"Pero si eran los chimbomierdas que son unos putos racistas los que se descojonaban con Lin chu so,\n ""ya tenéis un chino."" \n""Solo os falta un esquimal"" \nSon puro racismo y una secta supremacista de mierda",1
,8,2,"Pero si eran los chimbomierdas que son unos putos racistas los que se descojonaban con Lin chu so,\n ""ya tenéis un chino."" \n""Solo os falta un esquimal"" \nSon puro racismo y una secta supremacista de mierda",1
,9,2,"El embargo de CITGO es solo el comienzo. #Narcodictadura sigue represión, asesinando y traficando, se meterán a tu casa a violar y matar a tu mujer y tus hijos..Y no pasa nada? De pana están como los músicos del Titanic... #DespiertaCoño #Arrechate\n@VenezuelaAnons @MariaCorinaYA",1
,9,4,"El embargo de CITGO es solo el comienzo. #Narcodictadura sigue represión, asesinando y traficando, se meterán a tu casa a violar y matar a tu mujer y tus hijos..Y no pasa nada? De pana están como los músicos del Titanic... #DespiertaCoño #Arrechate\n@VenezuelaAnons @MariaCorinaYA",1
,10,4,"No sra ignorante no está de acuerdo en matar vidas inocentes. Están de acuerdo en que cuando alguna mujer decida ""matar esa vida inocente"" no se vaya la de ella en el intento. No es un debate si abortar o no. Es un debate en qué condiciones se hacen...",1
,10,2,"No sra ignorante no está de acuerdo en matar vidas inocentes. Están de acuerdo en que cuando alguna mujer decida ""matar esa vida inocente"" no se vaya la de ella en el intento. No es un debate si abortar o no. Es un debate en qué condiciones se hacen...",1
,11,4,"Me gusta el Kpop pero al menos no voy dando lecciones de moral sin tener ni puta idea, no voy de aliado feminista y luego permito comentarios machistas y tampoco me limito a un único estilo musical porque es de “guays”. Chico, que pena das.",1
,11,2,"Me gusta el Kpop pero al menos no voy dando lecciones de moral sin tener ni puta idea, no voy de aliado feminista y luego permito comentarios machistas y tampoco me limito a un único estilo musical porque es de “guays”. Chico, que pena das.",1
