id	HS	text	pretext
848992963912925184	0	@pergrime_ Yo odio profundamente a Courtney. Tan falsa y tan perfecta...grrrrr me puso negra!	$MENTION$ odio profundamente courtney . tan falsa tan perfecta  $ELLIPSIS$ grrrrr puso negra !
938414137360769024	1	Los perroflautas que libráis hoy no decís nada ehh?? #DiaDeLaConstitucionEspanola	perroflautas librais hoy decis ehh ? ? $HASHTAG$
879791117105061889	0	Fua, los refugiados son peligrosísimos. https://t.co/0rXvreJsjf	fua , refugiados peligrosisimos . $URL$
851149706843521024	0	Y el ser humano en una plaza de toros desarrolla la hormona de ser un subnormal 😑 https://t.co/beXylo1S3J	ser humano plaza toros desarrolla hormona ser subnormal $EMOJI$ $URL$
849002935908544512	0	@TERRORSPHARA88 Los únicos nazis contra los que se atreve a combatir son los del Call of Duty: World At War y en modo fácil.	$MENTION$ unicos nazis atreve combatir call of duty : world at war modo facil .
938486311958310912	1	@netchiken tu respuesta dice que no crees que el catalán tendría que ser de obligatorio entendimiento. Eres un puto… https://t.co/1LTTkKqabN	$MENTION$ respuesta dice crees catalan ser obligatorio entendimiento . puto  $ELLIPSIS$ $URL$
827918282200010752	0	Gritos de “¡Reyes maricón!” en La Rosaleda https://t.co/9sN5hQluaA	"gritos "" ! reyes maricon ! "" rosaleda $URL$"
885687588425695239	0	que cojones significa ser nazi de broma	cojones significa ser nazi broma
879812370608074752	0	A vueltas con Pizarro, el complejo de Vergüenza Ajena, la Leyenda Negra y la Torta del Casar - La Paseata… https://t.co/2Uv9sXTAnO	vueltas pizarro , complejo verguenza ajena , leyenda negra torta casar - paseata  $ELLIPSIS$ $URL$
828001994422026241	1	Ni yo @KingsMiss ver a a alguno de esa chusma de vividores subvencionados rojomierdas me produce nauseas  #NoVeoLosGoya #BoicotALosGoya	$MENTION$ ver alguno chusma vividores subvencionados rojomierdas produce nauseas $HASHTAG$ $HASHTAG$
879806205404819456	0	Llevo toooda la tarde acordándome de Bender y su casino y sus furcias...	llevo toooda tarde acordandome bender casino furcias  $ELLIPSIS$ 
943976013222043648	0	La CUP celebra los resultados del bloque independentista pese a su descalabro https://t.co/W0PX34BHo1	cup celebra resultados bloque independentista pese descalabro $URL$
851175616628084736	0	@FelipeGALzalez Ya no te puedes fiar ni de la ultraderecha, sad!	$MENTION$ puedes fiar ultraderecha , sad !
828004918686601216	0	@mendeleiev si? Joder me quedo más tranquilo. Me paso el día pensando en que deben pensar q soy retrasado. Q también...	$MENTION$ si ? joder quedo tranquilo . paso dia pensando deben pensar q retrasado . q  $ELLIPSIS$ 
827986601632481280	0	Por si teníais alguna duda de que este tío es un fascista... https://t.co/892QsX4dI4	si alguna duda tio fascista  $ELLIPSIS$ $URL$
879782452423733248	0	Tanto machismo, feminismo y mierda rara... Que cada uno haga lo que quiera.	machismo , feminismo mierda rara  $ELLIPSIS$ cada haga quiera .
827903060982771713	0	Stop inventaros orientaciones sexuales porque sois bifobos y transfobos https://t.co/ZWPgFomF0J	stop inventaros orientaciones sexuales bifobos transfobos $URL$
938427641811566592	0	Así pasó, yo era el ateo, el perroflauta, el rojo, todo lo que se os pueda ocurrir, de mi clase xd	asi paso , ateo , perroflauta , rojo , pueda ocurrir , clase xd
879803043814006784	0	@inesitaterrible El dictador genocida maduro, lleva mal el uso de los tiempos verbales	$MENTION$ dictador genocida maduro , lleva mal uso tiempos verbales
943994888743477248	1	@Uvejeje Como puede ser un icono feminista una facha como ella?? 👀 estamos locos o qué?	$MENTION$ puede ser icono feminista facha ? ? $EMOJI$ locos ?
938508304438972416	1	No haber votado a un tarado que salía en todos los vídeos elogiando a ETA. https://t.co/yBE0UzOIkP	haber votado tarado salia videos elogiando eta . $URL$
943991895952412672	1	@DrSirera De todos modos Cs es también un partido oscuro y menos catalanistas k el pp. Hasta más fachas	$MENTION$ modos cs partido oscuro menos catalanistas k pp . fachas
879791021143580677	1	@TocaEnCorto Yo quiero que pierda España para que les den por culo a los fachas y catetos que atizan aestos jugadores pero me está sorprendiendo.	$MENTION$ quiero pierda espana den culo fachas catetos atizan aestos jugadores sorprendiendo .
944000402562875397	0	@ramoncotarelo Con Europa tentándose las barbas por el auge de la ultraderecha xenófoba, ¿prestarán atención al estado de excepción en Catalunya? Tiene que ocurrir algo gravísimo para que giren sus cabezas: que el Estado o sus bandas de neonazis provoquen algún muerto (dios no lo quiera).	$MENTION$ europa tentandose barbas auge ultraderecha xenofoba , ? prestaran atencion excepcion catalunya ? ocurrir gravisimo giren cabezas : bandas neonazis provoquen algun muerto ( dios quiera ) .
827855037426696193	0	Los medios, asustados por el auge de la extrema derecha en Europa, lavándole la carita a un nazi. Son para comérselos.	medios , asustados auge extrema derecha europa , lavandole carita nazi . comerselos .
851146719698046976	1	@diostuitero Tan despreciable, demagogo y oportunista el tipo como siempre	$MENTION$ tan despreciable , demagogo oportunista tipo siempre
827990285670039554	0	Venga Peter... que estrenas el rojo... ¿será verdad? #OHD2TV3	venga peter  $ELLIPSIS$ estrenas rojo  $ELLIPSIS$ ? verdad ? $HASHTAG$
885834843669528576	0	@labasesecreta No todos son vehículos, eso es racista.	$MENTION$ vehiculos , racista .
885831426666618884	1	"Y tú eres gilipollas. Recuerda tus palabras sobre las víctimas del franquismo... ""abulense"" @pablocasado_ https://t.co/Chk0SabAPs"	"gilipollas . recuerda palabras victimas franquismo  $ELLIPSIS$ "" abulense "" $MENTION$ $URL$"
839594061916958722	1	@3gerardpique  hoy no dices mada de los arbitros no?  Valiente mongolo que eres	$MENTION$ hoy dices mada arbitros ? valiente mongolo
848991453372133377	0	Cuando vas de socialista pero te dicen que no existe la cultura blanca y como blanco sólo te queda insultar: https://t.co/d4y31lfTYT	vas socialista dicen existe cultura blanca blanco solo queda insultar : $URL$
938391380048728065	1	@esparver Un canari LeT amb la bandera europea. Un subnormal, vaja.	$MENTION$ canari let amb bandera europea . subnormal , vaja .
828002230599086082	0	L@s fans FASCISTAS suelen ser bastante INCULTOS politic@s https://t.co/ovmbnHYkg7	l $MENTION$ fans fascistas suelen ser bastante incultos politic $MENTION$ $URL$
827929237613060096	1	Yo pagaba un dinero por que se subiese el subnormal de Pedrerol al tejado de Balaídos a reparar la cubierta.	pagaba dinero subiese subnormal pedrerol tejado balaidos reparar cubierta .
827852780807282689	1	@buccinomarivin1 estos basuras como @JuanCSchmid LE TIENEN MIEDO A LOS CARPETAZOS , ESTAN MAS SUCIOS QUE LAS PAPAS NEGRAS	$MENTION$ basuras $MENTION$ miedo carpetazos , estan mas sucios papas negras
827964050214645760	1	Vaya pintas de subnormal https://t.co/Kx3PF9qlWU	vaya pintas subnormal $URL$
885746271323029504	1	@TONILECTURAAS @oskarchako @txolokiriki1 Lee mongolo, lee. Deja de dar pena	$MENTION$ $MENTION$ $MENTION$ lee mongolo , lee . deja dar pena
851139516857561088	0	@davidvazbaciero A la fiscalía? Jajaja. No te sabes más tópicos? Ahora que viene, llamarme facha? Venga, respétate, no hagas más el ridículo	$MENTION$ fiscalia ?  $LOL$  . sabes topicos ? ahora viene , llamarme facha ? venga , respetate , hagas ridiculo
851173614871359488	0	Carme Chacon nunca fue santo de mi devoción, para mi tenia poco de socialista, pero nadie debería tener una muerte como esa. D.E.P	carme chacon nunca santo devocion , tenia socialista , nadie deberia tener muerte . d . . p
938433393519296512	0	"Una reportera de Telecinco boicoteada en directo por una familia independentista catalana: ""¿Dónde queda el respeto?"" https://t.co/uBIwvX0U8t https://t.co/ULzvZKUx62"	"reportera telecinco boicoteada directo familia independentista catalana : "" ? donde queda respeto ? "" $URL$ $URL$"
851177456556019712	0	La clase política, conmocionada, lamenta la muerte de la dirigente socialista https://t.co/zECwuSiFaL https://t.co/WifeqwDZZb	clase politica , conmocionada , lamenta muerte dirigente socialista $URL$ $URL$
828012448905052161	1	@db9cama5 que bien haces de maricon.................................. ¿por qué será? Homosexualidad egodistónica se llama tu problema mental	$MENTION$ bien haces maricon  $ELLIPSIS$ ? ? homosexualidad egodistonica llama problema mental
827919706434723841	0	buena hora para recordar que gummy eres subnormal	buena hora recordar gummy subnormal
879818778061787137	0	"@champagnefab el problema es que te imagino a ti preguntandole a to los pibes ""¿perdona, soy guapo?"" y normal q te respondan eso marica"	"$MENTION$ problema imagino preguntandole to pibes "" ? perdona , guapo ? "" normal q respondan marica"
827916781083844609	0	Aquí si hay nazis son ellos... Vergonzoso lo del Rayo https://t.co/t7enTYiak9	aqui si nazis  $ELLIPSIS$ vergonzoso rayo $URL$
827919412921528320	0	@idalmac46 @frcub es COMUNISMO, DICTADOR, OPRESOR y lo peor de todo, ASESINO!!!	$MENTION$ $MENTION$ comunismo , dictador , opresor peor , asesino  $EXCLAMATION$ 
827854611608371200	0	Perdona por esta gran perogrullada pero es que el fascismo independentista también es fascismo: https://t.co/8WDNGJXtBy	perdona gran perogrullada fascismo independentista fascismo : $URL$
938504280406978566	0	Menos mal y no he comprado congelados porque entre el tour por los suburbios y los monguers que paran el autobús para preguntarle al chófer por otro autobús, me va a llegar la coca cola caducada a casa. #EstoEsBadajoz	menos mal comprado congelados tour suburbios monguers paran autobus preguntarle chofer autobus , va llegar coca cola caducada casa . $HASHTAG$
827871753108127745	0	Porque está claro que es lo mismo querer romper tus estereotipos de género que buscar imponer tu ideología totalitaria .@elpais_deportes	claro mismo querer romper estereotipos genero buscar imponer ideologia totalitaria . $MENTION$
